id,question_number,is_correct,choice
1,1,0,"바나나 껍질"
2,1,1,"양파 껍질"
3,1,0,"오렌지 껍질"
4,1,0,"수박 껍질"
5,2,0,"일반 쓰레기로 버린다"
6,2,1,"음식물 쓰레기로 버린다"
7,2,0,"물에 희석해서 건더기는 음식물 쓰레기, 녹인 물은 하수구에 버린다"
8,3,0,"음식물이 묻은 비닐"
9,3,0,"과일망/과일 포장재 스티로폼 "
10,3,0,"플라스틱 빨대"
11,3,1,"이물질이나 무늬가 없는 흰 스티로폼"
12,4,0,"일반 종이와 함께 종이류로 분리배출한다"
13,4,0,"내용물을 비우고 종이팩으로 분리배출한다"
14,4,1," 내용물을 비우고 물로 헹군 뒤 펼치고 잘 말려서 종이팩으로 분리배출한다"
15,5,0,칫솔
16,5,1,"라벨을 뗀 페트병"
17,5,0,"생분해성 플라스틱 제품"
18,6,1,일반쓰레기
19,6,0,음식물쓰레기
20,6,0,재활용쓰레기
21,7,0,체중계
22,7,0,"강아지 집"
23,7,0,소화기
24,7,1,소주병
25,8,1,"방금 깐 귤 껍질"
26,8,0,녹차티백
27,8,0,"생강 껍질"
28,8,0,"절인 배추"
29,9,0,"해당 지역 구청"
30,9,0,"해당 지역 구청 인터넷 홈페이지"
31,9,1,"동네 슈퍼"
32,9,0,"해당 지역 시청"
33,10,0,"막걸리 병 - 플라스틱"
34,10,1,"강아지 매트 - 스티로폼"
35,10,0,"깨진 거울 - 일반쓰레기"
36,10,0,"닦지 않은 컵라면용기 - 일반쓰레기"
